Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\API\API.csproj,File,src\API\API.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\API\API.csproj,File,src\API\BackgroundProcessors\HostedService.cs,13,8,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"_timer = new Timer(DoWork, default, TimeSpan.Zero, TimeSpan.FromSeconds(5));"
